"","patch","S","year","landscape","area","log.area.","ENN","log.ENN."
"1","ag1a",24,2005,"Agriculture",3.510182487,0.545329695,20,1.301029996
"2","ag1b",15,2005,"Agriculture",0.615515494,-0.21076101,31.6228,1.500000321
"3","ag1c",25,2005,"Agriculture",2.235047068,0.349286673,31.6228,1.500000321
"4","ag1d",35,2005,"Agriculture",8.279881989,0.918024147,40,1.602059991
"5","ag2a",32,2005,"Agriculture",1.373653501,0.137877197,30,1.477121255
"6","ag2b",40,2005,"Agriculture",59.2797938,1.772906684,14.1421,1.150513904
"7","ag2c",27,2005,"Agriculture",0.558076837,-0.253306003,31.6228,1.500000321
"8","ag2d",37,2005,"Agriculture",4.3,0.633468456,14.1421,1.150513904
"9","ag3a",40,2005,"Agriculture",19.63624123,1.293058359,22.3607,1.349485395
"10","ag3b",36,2005,"Agriculture",5.491167519,0.739664693,31.6228,1.500000321
"11","ag3c",27,2005,"Agriculture",1.192333329,0.076397684,14.1421,1.150513904
"12","ag3d",33,2005,"Agriculture",3.091917157,0.490227849,14.1421,1.150513904
"13","ag3e",25,2005,"Agriculture",1.927944182,0.285094456,50,1.698970004
"14","ag3f",17,2005,"Agriculture",0.988109966,-0.00519472,70.7107,1.849485137
"15","ag4a",12,2005,"Agriculture",0.971466267,-0.012572275,20,1.301029996
"16","ag4b",37,2005,"Agriculture",5.484847739,0.739164576,60,1.77815125
"17","ag4c",33,2005,"Agriculture",4.445433163,0.647914085,14.1421,1.150513904
"18","ag4d",36,2005,"Agriculture",54.15249787,1.733618494,22.3607,1.349485395
"19","ag4e",35,2005,"Agriculture",18.75277092,1.273065448,60,1.77815125
"20","ag4f",25,2005,"Agriculture",2.694390812,0.430460589,30,1.477121255
"21","ag5a",37,2005,"Agriculture",9.142801923,0.961079311,20,1.301029996
"22","ag5b",19,2005,"Agriculture",1.207525264,0.081896226,14.1421,1.150513904
"23","ag5c",37,2005,"Agriculture",32.54042756,1.512423255,28.2843,1.451545435
"24","ag5d",33,2005,"Agriculture",3.889338201,0.589875709,44.7214,1.650515391
"25","ag5e",31,2005,"Agriculture",7.191335609,0.856809557,20,1.301029996
"26","b1a",37,2005,"Bauxite",13.32580396,1.12469342,28.2843,1.451545435
"27","b1b",23,2005,"Bauxite",1.729188659,0.237842379,80.6226,1.9064568
"28","b1c",16,2005,"Bauxite",0.581195343,-0.235677874,80,1.903089987
"29","b1d",27,2005,"Bauxite",2.233532546,0.348992285,40,1.602059991
"30","b1e",24,2005,"Bauxite",3.471833165,0.540558847,28.2843,1.451545435
"31","b1f",NA,2005,"Bauxite",0.801,-0.096367484,NA,NA
"32","b1g",NA,2005,"Bauxite",1.161,0.06483222,NA,NA
"33","b2a",35,2005,"Bauxite",8.756019504,0.94230672,14.1421,1.150513904
"34","b2b",17,2005,"Bauxite",1.856201185,0.268625046,56.5685,1.752574663
"35","b2c",22,2005,"Bauxite",5.131475363,0.710242248,60,1.77815125
"36","b2d",22,2005,"Bauxite",2.133647185,0.329122607,42.4264,1.627636182
"37","b2e",12,2005,"Bauxite",1.372295871,0.137447757,53.8516,1.731198611
"38","b3a",26,2005,"Bauxite",4.364211783,0.639905818,14.1421,1.150513904
"39","b3b",26,2005,"Bauxite",3.937414124,0.595211095,30,1.477121255
"40","b3c",11,2005,"Bauxite",1.099155626,0.041059187,14.1421,1.150513904
"41","b3d",26,2005,"Bauxite",2.106171125,0.323493654,20,1.301029996
"42","b3e",27,2005,"Bauxite",5.632060694,0.750667326,56.5685,1.752574663
"43","b3f",11,2005,"Bauxite",1.29872367,0.113516756,36.0555,1.556971523
"44","b4a",23,2005,"Bauxite",4.293197778,0.632780896,20,1.301029996
"45","b4b",33,2005,"Bauxite",10.06595289,1.002854894,58.3095,1.765739317
"46","b4c",20,2005,"Bauxite",1.591531084,0.201815125,82.4621,1.91625439
"47","b4d",12,2005,"Bauxite",1.467360359,0.166536782,44.7214,1.650515391
"48","b4e",13,2005,"Bauxite",0.804028991,-0.094728292,50.9902,1.707486715
"49","b5a",NA,2005,"Bauxite",2.875,0.458637849,NA,NA
"50","b5b",NA,2005,"Bauxite",4.133,0.616265405,NA,NA
"51","b5c",NA,2005,"Bauxite",3.023,0.480438147,NA,NA
"52","b5d",NA,2005,"Bauxite",2.32,0.365487985,NA,NA
"53","Ref1a",36,2005,"Forest",5.5,0.740362689,0,0
"54","Ref1b",20,2005,"Forest",1.2,0.079181246,0,0
"55","Ref1c",25,2005,"Forest",3.5,0.544068044,0,0
"56","Ref1d",20,2005,"Forest",1.2,0.079181246,0,0
"57","Ref1e",32,2005,"Forest",7.5,0.875061263,0,0
"58","Ref1g",16,2005,"Forest",15,1.176091259,0,0
"59","Ref1h",NA,2005,"Forest",2.2,0.342422681,0,0
"60","Ref2a",34,2005,"Forest",3.5,0.544068044,0,0
"61","Ref2b",29,2005,"Forest",2.2,0.342422681,0,0
"62","Ref2c",40,2005,"Forest",5.5,0.740362689,0,0
"63","Ref2d",29,2005,"Forest",2.2,0.342422681,0,0
"64","Ref2e",22,2005,"Forest",2.2,0.342422681,0,0
"65","Ref3a",14,2005,"Forest",1.2,0.079181246,0,0
"66","Ref3b",29,2005,"Forest",5.5,0.740362689,0,0
"67","Ref3c",27,2005,"Forest",3.5,0.544068044,0,0
"68","Ref3d",30,2005,"Forest",2.2,0.342422681,0,0
"69","Ref4a",23,2005,"Forest",1.2,0.079181246,0,0
"70","Ref4b",30,2005,"Forest",3.5,0.544068044,0,0
"71","Ref4c",26,2005,"Forest",2.2,0.342422681,0,0
