ID,TotalValue,Borough,SchoolDistrict,Council,FireService,PolicePrct,HealthArea,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Class,LandUse,Easements,OwnerType,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Extension,Proximity,IrregularLot,LotType,BasementType,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,Built,HistoricDistrict,High
1000020003,822150,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Government,Transportation & Utility,0,City,38800,7500,7500,0,0,0,0,0,0,7500,0,1,0,0,91.9,564.56,50,75,Unknown,Not Available,No,Waterfront,Unknown,No,0.19,10,3.4,10,18th Century,No,FALSE
1000110010,679752,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1701,6770,1700,5070,0,1700,0,0,0,0,1,4,6,7,26.83,64.75,26,65,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,3.98,10,15,15,18th Century,No,FALSE
1000117501,878201,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Condo,Mixed Residential & Commercial Buildings,0,Unknown,2242,9132,3671,5461,0,3671,0,0,0,0,1,5,3,4,25.4,91.4,0,0,Unknown,Not Available,No,Mixed or Unknown,Unknown,No,4.07,10,15,15,18th Century,No,FALSE
1000290026,981763,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1839,7336,1834,5502,0,1834,0,0,0,0,1,4,4,5,24,73,24,73,Unknown,Not Available,Yes,Inside,Unknown,No,3.99,10,15,15,18th Century,Yes,FALSE
1000310034,555300,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Office,Commercial & Office Buildings,0,Unknown,979,6487,6487,0,5527,960,0,0,0,0,1,7,0,2,22.67,42.83,23,43,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,6.63,10,15,15,18th Century,No,FALSE
1000390041,831401,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,1269,7470,1494,5976,0,1494,0,0,0,0,1,5,4,5,17.92,82.83,18,83,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,5.89,10,15,15,80s,No,FALSE
1000520030,1033650,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Retail,Mixed Residential & Commercial Buildings,0,Private,2662,13300,13300,0,3000,6000,0,4300,0,0,1,5,0,2,52.58,28.92,52.58,28.92,Unknown,Not Available,Yes,Corner,Unknown,No,5,10,15,15,70s,No,FALSE
1000530041,553035,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1709,5382,1709,3673,0,1709,0,0,0,0,1,4,3,5,20.92,94,19,91,Unknown,Semi-Attached,Yes,Corner,Unknown,Yes,3.15,10,15,15,18th Century,No,FALSE
1000630016,845980,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Mixed Residential & Commercial Buildings,0,Unknown,1942,9106,1821,7285,0,1821,0,0,0,0,1,5,4,5,19.5,98.42,20,98,Unknown,Attached,Yes,Inside,Unknown,No,4.69,10,15,15,18th Century,No,FALSE
1000640020,373950,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Retail,Commercial & Office Buildings,0,Unknown,1860,6814,6814,0,3282,3532,0,0,0,0,1,4,0,1,21,90,21,90,Unknown,Not Available,Yes,Inside,Unknown,No,3.66,10,15,15,18th Century,No,FALSE
1000640023,950300,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Mixed Residential & Commercial Buildings,0,Private,1512,14645,1431,13214,0,1431,0,0,0,0,1,10,9,10,23.58,66.25,23,66,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,9.69,10,15,15,18th Century,No,FALSE
1000640106,22680,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Vacant,Vacant Land),0,City,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,19.27,0,0,Unknown,Not Available,Yes,Inside,Unknown,No,0,10,15,15,Unknown,No,FALSE
1000750009,831600,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Retail,Commercial & Office Buildings,0,Unknown,1075,1935,1935,0,0,1935,0,0,0,0,1,2,0,1,20.08,56.67,20,54,Unknown,Semi-Attached,Yes,Inside,Full Basement Below Grade,No,1.8,10,10,10,18th Century,No,FALSE
1000757502,648422,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Condo,Mixed Residential & Commercial Buildings,0,Unknown,2096,6950,1900,5050,0,1900,0,0,0,0,1,4.5,3,4,21,97,21.08,88,Unknown,Not Available,Yes,Inside,Unknown,No,3.32,10,10,10,Prewar,No,FALSE
1000770022,1037250,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Vacant,Vacant Land),0,Private,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,25.83,79.83,0,0,Unknown,Not Available,Yes,Inside,Unknown,No,0,10,10,10,Unknown,No,FALSE
1000770023,708063,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,1163,5800,1160,4640,0,1160,0,0,0,0,1,5,4,5,19.5,80.25,20,80,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,4.99,10,10,10,18th Century,No,FALSE
1000780044,786600,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Office,Commercial & Office Buildings,0,Unknown,2103,10238,10238,0,8188,2050,0,0,0,0,1,6,0,6,25.25,82.08,25,85,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,4.87,10,15,15,Prewar,No,FALSE
1000790027,513e3,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Vacant,Vacant Land),0,Unknown,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,25.17,108,0,0,Unknown,Not Available,Yes,Inside,Unknown,No,0,10,15,15,Unknown,No,FALSE
1000970005,425250,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Loft,Industrial & Manufacturing,0,Unknown,1229,4133,4133,0,0,0,0,4133,0,0,1,4,0,1,16.67,74.58,17,75,Unknown,Attached,Yes,Inside,No Basement,No,3.36,6.02,6,6.5,18th Century,Yes,FALSE
1000970013,333450,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Loft,Industrial & Manufacturing,0,Unknown,971,3892,3892,0,0,973,0,2919,0,0,1,4,0,1,39.08,25,39,25,Unknown,Attached,Yes,Inside,No Basement,No,4.01,6.02,6,6.5,18th Century,Yes,FALSE
1000970043,523350,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Retail,Mixed Residential & Commercial Buildings,0,Unknown,960,3840,1920,1920,0,1920,0,0,0,0,1,4,2,3,26.33,37,26,37,Unknown,Semi-Attached,Yes,Corner,Full Basement Below Grade,No,4,6.02,6,6.5,18th Century,Yes,FALSE
1001060003,588347,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Multi-Family Walk-Up Buildings,0,Unknown,3228,16067,0,16067,0,0,0,0,0,0,1,5,10,10,25.13,129.79,22,110,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,4.98,6.02,6,6.5,18th Century,Yes,FALSE
1001070034,344574,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Mixed Residential & Commercial Buildings,0,Private,2455,10782,1048,9734,0,1048,0,0,0,0,0,0,6,7,19.83,138.67,0,0,Unknown,Attached,Yes,Connecting,Full Basement Below Grade,No,4.39,6.02,6,6.5,Unknown,Yes,FALSE
1001070040,685561,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,2127,10635,2127,8508,0,2127,0,0,0,0,1,5,4,6,41.33,51.75,41.33,51.75,Unknown,Not Available,Yes,Inside,Unknown,No,5,6.02,6,6.5,18th Century,Yes,FALSE
1001070049,877921,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Multi-Family Elevator Buildings,0,Private,1804,14800,1500,13300,0,1500,0,0,0,0,1,8,6,7,24.5,74,25,70,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,8.2,6.02,6,6.5,18th Century,Yes,FALSE
1001160047,78655,Manhattan,02,1,Engine,5,7800,Residential,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,900,2800,810,1990,0,810,0,0,0,0,1,3,4,5,25.08,35.75,25,35.75,Unknown,Not Available,Yes,Corner,Unknown,No,3.11,3.44,0,6.5,18th Century,No,FALSE
1001347506,943267,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Condo,Mixed Residential & Commercial Buildings,0,Unknown,2446,12613,4073,8540,0,4073,0,0,0,0,1,6,4,5,24.44,100.1,0,0,Unknown,Not Available,No,Mixed or Unknown,Unknown,No,5.16,7.52,6,7.5,18th Century,No,FALSE
1001350016,716207,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1875,8313,1877,6436,0,1877,0,0,0,0,1,5,4,6,25,75.08,25,75,Unknown,Attached,No,Inside,Unknown,No,4.43,7.52,6,7.5,18th Century,No,FALSE
1001350021,876258,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1877,8885,2175,6710,0,2175,0,0,0,0,1,5,5,6,25,75.08,25,75.08,Unknown,Not Available,Yes,Inside,Partial Basement Below Grade,No,4.73,7.52,6,7.5,18th Century,No,FALSE
1001400009,689764,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Multi-Family Elevator Buildings,0,Unknown,1915,8900,1900,7000,0,1900,0,0,0,0,1,5,4,6,25,76.58,25,77,Unknown,Attached,No,Inside,Unknown,No,4.65,7.52,6,7.5,18th Century,No,FALSE
1001410009,414720,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Unknown,1370,6800,0,6800,0,0,0,0,0,0,1,5,1,1,25,54.03,25,54,Unknown,Attached,Yes,Inside,Partial Basement Below Grade,No,4.96,6.02,6,6.5,90s,No,FALSE
1001410021,751147,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,1525,6000,1500,4500,0,1500,0,0,0,0,1,4,3,4,40.67,50,41,50,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,3.93,6.02,6,6.5,18th Century,Yes,FALSE
1001410114,31063,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Single Family,One &Two Family Buildings,0,Private,357,945,0,945,0,0,0,0,0,0,1,3,1,1,51.25,14,51.25,14,Unknown,Semi-Attached,Yes,Corner,Full Basement Below Grade,No,2.65,6.02,6,6.5,18th Century,Yes,FALSE
1001430016,520520,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Multi-Family Elevator Buildings,0,Private,2000,11726,3785,7941,0,1985,0,1800,0,0,1,5,4,8,50,40.42,49,39,Unknown,Attached,Yes,Corner,Full Basement Below Grade,No,5.86,6.02,6,6.5,18th Century,Yes,FALSE
1001450016,374221,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Unknown,1880,8800,1880,6920,0,1880,0,0,0,0,1,5,4,5,25,75.25,25,71,Unknown,Attached,Yes,Inside,Unknown,No,4.68,7.52,6,7.5,18th Century,Yes,FALSE
1001470011,617400,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Mixed Residential & Commercial Buildings,0,Unknown,1263,6200,1240,4960,0,1240,0,0,0,0,1,5,4,6,25,50,25,50,Unknown,Attached,Yes,Corner,Unknown,No,4.91,6.02,6,6.5,18th Century,Yes,FALSE
1001477501,752976,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Condo,Mixed Residential & Commercial Buildings,0,Private,2942,15020,5021,9999,0,5021,0,0,0,0,1,6,5,6,59,50,0,0,Unknown,Not Available,No,Inside,Unknown,No,5.11,6.02,6,6.5,18th Century,No,FALSE
1001477504,764771,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Condo,Mixed Residential & Commercial Buildings,0,Unknown,2563,11704,3732,7972,1332,2400,0,0,0,0,1,5,5,6,0.05,0,0,0,Unknown,Not Available,No,Mixed or Unknown,Unknown,No,4.57,6.02,6,6.5,18th Century,No,FALSE
1001500005,493200,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Loft,Industrial & Manufacturing,0,Private,1934,8900,7200,1700,0,1700,0,5500,0,0,1,5,1,7,24.33,77.92,24,78,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,4.6,6.02,6,6.5,18th Century,Yes,FALSE
1001500025,1055700,Manhattan,02,1,Ladder,1,7700,Commercial,Commercial,Missing,Missing,Government,Public Facilities & Institutions,0,City,8859,19381,19381,0,19381,0,0,0,0,0,2,3,0,2,75.75,116.67,76,80,Unknown,Attached,Yes,Inside,Unknown,Yes,2.19,6.02,6,6.5,18th Century,No,FALSE
1001550031,292050,Manhattan,02,1,Ladder,5,7700,Park,Missing,Missing,Missing,Outdoor,Open Space & Outdoor Recreation,0,City,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,90.42,46.42,0,0,Unknown,Not Available,Yes,Block Assemblage,Unknown,No,0,0,0,0,Unknown,Yes,FALSE
1001620013,567e3,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Unknown,2346,11148,1800,9348,0,1800,0,0,0,0,1,6,20,22,24,99.33,24,85,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,4.75,3.44,6,6.5,18th Century,No,FALSE
1001620054,549e3,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Office,Commercial & Office Buildings,0,Private,2375,9276,9276,0,6957,2319,0,0,0,0,1,4,0,5,24.92,100.83,25,101,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,3.91,3.44,6,6.5,18th Century,No,FALSE
1001630022,885600,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Unknown,2599,14200,1800,12400,0,1800,0,0,0,0,1,7,24,26,26.5,99,27,84,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,5.46,3.44,6,6.5,18th Century,No,FALSE
1001640001,747900,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Unknown,2190,11740,2000,9740,0,2000,0,0,0,0,1,6,15,18,25.42,85.67,25,86,Unknown,Semi-Attached,Yes,Corner,Full Basement Below Grade,No,5.36,3.44,6,6.5,18th Century,No,FALSE
1001640007,754650,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Unknown,3486,13120,3100,10020,0,3100,0,0,0,0,2,5,15,17,42.08,84,42,70,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,3.76,3.44,6,6.5,18th Century,No,FALSE
1001640046,649800,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Private,2302,10032,2200,7832,0,2200,0,0,0,0,1,5,16,19,26.08,85.83,26,84,Unknown,Semi-Attached,Yes,Inside,Full Basement Below Grade,No,4.36,3.44,6,6.5,18th Century,No,FALSE
1001640053,675450,Manhattan,02,1,Engine,5,7700,Commercial,Missing,Missing,Missing,Retail,Mixed Residential & Commercial Buildings,0,Private,2300,10700,6100,4600,2300,3800,0,0,0,0,1,4,2,6,25,97.67,25,98,Unknown,Attached,Yes,Inside,Full Basement Below Grade,No,4.65,3.44,6,6.5,18th Century,No,FALSE
1001740016,845100,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Loft,Industrial & Manufacturing,0,Private,1872,9360,1800,7560,0,1800,0,0,0,0,1,5,4,5,25,74.83,25,75,Unknown,Semi-Attached,No,Corner,Full Basement Below Grade,No,5,6.02,6,6.5,18th Century,Yes,FALSE
1001740020,769950,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Loft,Industrial & Manufacturing,0,Private,2350,11200,6200,5000,0,2000,0,2200,0,2000,1,5,2,3,23.5,100,24,95,Extension,Attached,No,Inside,Full Basement Below Grade,No,4.77,6.02,6,6.5,18th Century,Yes,FALSE
1001740026,264759,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,1520,5292,1323,3969,0,0,0,1323,0,0,1,4,3,4,18.75,76.25,19,71,Extension,Attached,Yes,Inside,Unknown,No,3.48,6.02,6,6.5,18th Century,Yes,FALSE
1001750002,907646,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,2621,9796,2500,7296,0,2500,0,0,0,0,1,5,4,5,26.17,100,26,100,Unknown,Semi-Attached,No,Inside,Full Basement Below Grade,No,3.74,6.02,6,6.5,18th Century,Yes,FALSE
1001750005,487956,Manhattan,02,1,Ladder,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,2508,11020,4420,6600,0,0,0,4420,0,0,1,5,3,5,25.08,100,25,96,Extension,Attached,No,Inside,Unknown,No,4.39,6.02,6,6.5,18th Century,Yes,FALSE
1001760017,598050,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Retail,Commercial & Office Buildings,0,Unknown,1237,2580,2580,0,0,2580,0,0,0,0,1,2,0,1,24.75,50,24,50,Unknown,Not Available,No,Inside,Unknown,No,2.09,6.02,6,6.5,18th Century,No,FALSE
1001770028,420525,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,2500,9091,2275,6816,0,2275,0,0,0,0,1,4,3,4,25,100.17,25,96,Extension,Attached,Yes,Inside,Unknown,No,3.64,6.02,6,6.5,18th Century,Yes,FALSE
1001780010,483084,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,2558,11000,2200,8800,0,2200,0,0,0,0,1,5,6,7,25.33,101,25,95,Extension,Attached,No,Inside,Full Basement Below Grade,No,4.3,6.02,6,6.5,18th Century,Yes,FALSE
1001810006,107827,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Mixed,Mixed Residential & Commercial Buildings,0,Private,1656,6500,1200,5300,0,1200,0,0,0,0,1,4,2,3,18.75,87.5,18.75,83,Extension,Attached,No,Corner,Unknown,No,3.93,6.02,6,6.5,18th Century,Yes,FALSE
1001870002,986592,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Elevator Apartment,Multi-Family Elevator Buildings,0,Private,2964,16568,1380,15188,0,1380,0,0,0,0,1,6,5,6,33.25,87.83,33,88,Extension,Attached,No,Inside,Full Basement Below Grade,No,5.59,6.02,6,6.5,18th Century,Yes,FALSE
1001870005,269816,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Walk Up Apartment,Mixed Residential & Commercial Buildings,0,Private,1857,9214,1200,8014,0,1200,0,0,0,0,1,6,9,10,21.17,87.75,21,66,Unknown,Attached,No,Inside,Full Basement Below Grade,No,4.96,6.02,6,6.5,18th Century,Yes,FALSE
1001890035,621450,Manhattan,02,1,Engine,1,7700,Commercial,Missing,Missing,Missing,Government,Public Facilities & Institutions,0,City,2863,6093,6093,0,6093,0,0,0,0,0,1,3,0,0,39.58,83.25,25,75,Unknown,Not Available,Yes,Corner,Full Basement Below Grade,No,2.13,6.02,6,6.5,18th Century,Yes,FALSE
1001900053,162450,Manhattan,02,1,Engine,1,7700,Park,Missing,Missing,Missing,Outdoor,Open Space & Outdoor Recreation,0,City,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,85,37.5,0,0,Unknown,Not Available,Yes,Block Assemblage,Unknown,No,0,0,0,0,Unknown,No,FALSE
