"","LongPos_COB","Prismatic_Coeff","Len_Disp_Ratio","Beam_Draut_Ratio","Length_Beam_Ratio","Froude_Num","Residuary_Resist"
"1",-2.3,0.568,4.78,3.99,3.17,0.125,0.11
"2",-2.3,0.568,4.78,3.99,3.17,0.15,0.27
"3",-2.3,0.568,4.78,3.99,3.17,0.175,0.47
"4",-2.3,0.568,4.78,3.99,3.17,0.2,0.78
"5",-2.3,0.568,4.78,3.99,3.17,0.225,1.18
"6",-2.3,0.568,4.78,3.99,3.17,0.25,1.82
"7",-2.3,0.568,4.78,3.99,3.17,0.275,2.61
"8",-2.3,0.568,4.78,3.99,3.17,0.3,3.76
"9",-2.3,0.568,4.78,3.99,3.17,0.325,4.99
"10",-2.3,0.568,4.78,3.99,3.17,0.35,7.16
"11",-2.3,0.568,4.78,3.99,3.17,0.375,11.93
"12",-2.3,0.568,4.78,3.99,3.17,0.4,20.11
"13",-2.3,0.568,4.78,3.99,3.17,0.425,32.75
"14",-2.3,0.568,4.78,3.99,3.17,0.45,49.49
"15",-2.3,0.569,4.78,3.04,3.64,0.125,0.04
"16",-2.3,0.569,4.78,3.04,3.64,0.15,0.17
"17",-2.3,0.569,4.78,3.04,3.64,0.175,0.37
"18",-2.3,0.569,4.78,3.04,3.64,0.2,0.66
"19",-2.3,0.569,4.78,3.04,3.64,0.225,1.06
"20",-2.3,0.569,4.78,3.04,3.64,0.25,1.59
"21",-2.3,0.569,4.78,3.04,3.64,0.275,2.33
"22",-2.3,0.569,4.78,3.04,3.64,0.3,3.29
"23",-2.3,0.569,4.78,3.04,3.64,0.325,4.61
"24",-2.3,0.569,4.78,3.04,3.64,0.35,7.11
"25",-2.3,0.569,4.78,3.04,3.64,0.375,11.99
"26",-2.3,0.569,4.78,3.04,3.64,0.4,21.09
"27",-2.3,0.569,4.78,3.04,3.64,0.425,35.01
"28",-2.3,0.569,4.78,3.04,3.64,0.45,51.8
"29",-2.3,0.565,4.78,5.35,2.76,0.125,0.09
"30",-2.3,0.565,4.78,5.35,2.76,0.15,0.29
"31",-2.3,0.565,4.78,5.35,2.76,0.175,0.56
"32",-2.3,0.565,4.78,5.35,2.76,0.2,0.86
"33",-2.3,0.565,4.78,5.35,2.76,0.225,1.31
"34",-2.3,0.565,4.78,5.35,2.76,0.25,1.99
"35",-2.3,0.565,4.78,5.35,2.76,0.275,2.94
"36",-2.3,0.565,4.78,5.35,2.76,0.3,4.21
"37",-2.3,0.565,4.78,5.35,2.76,0.325,5.54
"38",-2.3,0.565,4.78,5.35,2.76,0.35,8.25
"39",-2.3,0.565,4.78,5.35,2.76,0.375,13.08
"40",-2.3,0.565,4.78,5.35,2.76,0.4,21.4
"41",-2.3,0.565,4.78,5.35,2.76,0.425,33.14
"42",-2.3,0.565,4.78,5.35,2.76,0.45,50.14
"43",-2.3,0.564,5.1,3.95,3.53,0.125,0.2
"44",-2.3,0.564,5.1,3.95,3.53,0.15,0.35
"45",-2.3,0.564,5.1,3.95,3.53,0.175,0.65
"46",-2.3,0.564,5.1,3.95,3.53,0.2,0.93
"47",-2.3,0.564,5.1,3.95,3.53,0.225,1.37
